Ticker,Score,Close,RSI,EMA_Score,MACD_Score,OBV_Score,Pred_Breakout,Pred_Reversal,Pred_EMA_Cross,Volume_Spike,Regime,Percentile,Entry_Tag,Exit_Tag
AMD,-13.68,231.8000030517578,61.87,100.0,-200.0,100.0,-38.38,0.0,100.0,0.48,RANGE,35.35,,
AMSC,-14.79,32.18000030517578,63.89,100.0,0.0,100.0,-78.65,0.0,-100.0,3.32,RANGE,34.48,,EXIT_MOMENTUM_FAIL
ON,-22.32,60.31999969482422,47.78,25.6,-200.0,100.0,100.0,0.0,100.0,1.49,TREND,25.13,,
PL,-22.9,28.76499938964844,63.74,100.0,-200.0,100.0,-100.0,-68.71,100.0,0.85,TREND,24.53,,
TSM,-25.5,342.3999938964844,70.53,100.0,-200.0,100.0,-100.0,-100.0,100.0,0.53,TREND,21.88,,
NOK,-36.51,6.554999828338623,63.77,15.88,-136.27,-100.0,-57.73,0.0,100.0,0.83,RANGE,13.41,,
TMC,-44.71,7.224999904632568,34.59,-39.05,-200.0,100.0,-18.49,0.0,100.0,0.62,TREND,9.06,,
TSLA,-47.27,437.4700012207031,45.12,-26.86,-200.0,100.0,100.0,24.4,100.0,0.68,TREND,7.58,,
GME,-66.16,21.09000015258789,53.18,16.85,-199.08,-100.0,100.0,-15.91,100.0,1.34,RANGE,2.37,,
IMPP,-76.91,3.704999923706055,13.7,-85.88,-170.47,-100.0,-100.0,0.0,100.0,0.99,TREND,0.91,,
GUTS,-77.25,1.919999957084656,32.13,-95.46,-195.1,100.0,100.0,0.0,100.0,1.8,TREND,0.87,,
TARK,-77.43,54.310001373291016,40.47,-18.11,-200.0,-100.0,75.81,0.0,100.0,5.12,TREND,0.84,,
IPDN,-78.66,1.0099999904632568,31.25,-100.0,-135.09,100.0,-100.0,0.0,100.0,4.28,TREND,0.8,,
CORT,-80.26,34.720001220703125,20.43,-100.0,-200.0,100.0,-100.0,100.0,100.0,2.2,TREND,0.77,ENTRY_LONG_REVERSAL,
FIVN,-80.5,17.59000015258789,7.62,-100.0,-200.0,100.0,-100.0,0.0,100.0,2.96,TREND,0.71,,
BDMD,-80.5,1.149999976158142,11.13,-100.0,-200.0,100.0,-100.0,0.0,100.0,2.89,TREND,0.71,,
SAVA,-80.66,2.0230000019073486,20.19,-80.9,-178.59,-100.0,-21.04,0.0,100.0,2.47,TREND,0.66,,
FFIV,-81.26,268.1499938964844,51.02,-0.56,-200.0,94.2,-100.0,0.0,-100.0,2.92,RANGE,0.62,,EXIT_MOMENTUM_FAIL
QDEL,-81.32,33.189998626708984,35.44,-6.5,-200.0,-100.0,-20.02,0.0,-100.0,2.24,TREND,0.58,,EXIT_MOMENTUM_FAIL
SAIL,-81.87,18.26000022888184,28.13,-100.0,-200.0,100.0,-100.0,0.0,100.0,1.17,TREND,0.55,,
CRSR,-82.19,5.684999942779541,46.46,-35.55,-200.0,100.0,-74.38,0.0,100.0,1.58,TREND,0.51,,
BUSE,-82.58,24.39999961853028,57.41,56.2,-200.0,-100.0,-63.2,0.0,100.0,3.35,RANGE,0.47,,
KURA,-84.48,8.449999809265137,5.34,-100.0,-200.0,100.0,-100.0,0.0,100.0,2.16,TREND,0.44,,
WAFD,-85.8,32.43000030517578,41.66,-7.22,-200.0,100.0,-50.89,0.0,-100.0,5.35,RANGE,0.4,,EXIT_MOMENTUM_FAIL
CMMB,-88.3,1.670699954032898,34.8,-100.0,-139.33,46.94,-79.5,0.0,100.0,1.66,TREND,0.36,,
GMAB,-88.42,32.255001068115234,23.05,-100.0,-200.0,100.0,-100.0,0.0,100.0,1.52,TREND,0.33,,
GRPN,-89.24,16.139999389648438,50.26,-4.64,-200.0,100.0,-62.78,0.0,-8.52,3.97,TREND,0.29,,EXIT_MOMENTUM_FAIL
TKNO,-89.98,3.319999933242798,28.24,-100.0,-200.0,100.0,-100.0,0.0,100.0,2.22,TREND,0.26,,
TRVI,-92.0,10.489999771118164,20.12,-100.0,-200.0,100.0,-100.0,0.0,100.0,1.85,TREND,0.2,,
SOFX,-92.0,27.65999984741211,39.79,-100.0,-200.0,100.0,100.0,0.0,100.0,2.5,TREND,0.2,,
CIVB,-92.55,22.700000762939453,52.8,63.46,-200.0,-100.0,-100.0,0.0,100.0,1.57,RANGE,0.15,,
COEP,-93.92,12.859999656677246,32.12,-100.0,-200.0,100.0,-16.66,0.0,100.0,1.9,TREND,0.11,,
TLSI,-100.0,5.519999980926514,39.33,-100.0,-200.0,100.0,-100.0,0.0,100.0,1.77,TREND,0.05,,
RICK,-100.0,25.38999938964844,41.89,-1.87,-200.0,-100.0,-100.0,0.0,-100.0,1.63,RANGE,0.05,,EXIT_MOMENTUM_FAIL
